"age","sex","weight","eye.color","hair.color"
19,"M",107.2,"blue","white"
22,"F",204.1,"hazel","auburn"
20,"M",219,"hazel","blond"
21,"F",187.6,"gray","blond"
23,"M",253.7,"brown","chestnut"
22,"F",207.9,"blue","chestnut"
19,"F",132.2,"blue","black"
19,"M",231.9,"amber","black"
24,"M",181.9,"gray","red"
17,"M",318.2,"gray","chestnut"
21,"M",171.6,"amber","red"
18,"F",181.6,"hazel","white"
19,"F",130.7,"gray","black"
24,"M",154.5,"blue","blond"
17,"F",179.8,"green","blond"
18,"M",195.5,"blue","gray"
19,"F",113.5,"green","chestnut"
24,"M",181.5,"amber","auburn"
20,"M",186.6,"hazel","brown"
23,"M",243.7,"hazel","red"
