"state","sq.miles"
"Alabama",14062
"Alaska",1375
"Arizona",40781
"Arkansas",21406
"California",39688
"Colorado",48750
"Connecticut",625
"Delaware",766
"Florida",14453
"Georgia",16094
"Hawaii",1734
"Idaho",17812
"Illinois",41719
"Indiana",23125
"Iowa",48125
"Kansas",72188
"Kentucky",21875
"Louisiana",12578
"Maine",2109
"Maryland",3203
"Massachusetts",812
"Michigan",15625
"Minnesota",42031
"Mississippi",17422
"Missouri",45469
"Montana",95000
"Nebraska",71250
"Nevada",9219
"New Hampshire",734
"New Jersey",1141
"New Mexico",67500
"New York",10938
"North Carolina",13438
"North Dakota",61875
"Ohio",21406
"Oklahoma",55000
"Oregon",25625
"Pennsylvania",12109
"Rhode Island",109
"South Carolina",7656
"South Dakota",68281
"Tennessee",17031
"Texas",203750
"Utah",17344
"Vermont",1906
"Virginia",12578
"Washington",23125
"West Virginia",5703
"Wisconsin",23750
"Wyoming",47188
